donor_district_obs,n,total_amount,prop_ood_obs,mean_prop_ood_sim,ci_lower_sim,ci_upper_sim
Battlefords--Lloydminster,92,48235,0.26225769669327254,0.11221102719701004,0.0931631917004888,0.1318817501416838
Calgary Shepard,172,72419.1,0.5192521033815662,0.2849267105973548,0.2685577166684751,0.30129558947763047
Charleswood--St. James--Assiniboia--Headingley,219,94130,0.4032269202167216,0.27071294519741,0.25264482294088386,0.2893719754404196
Esquimalt--Saanich--Sooke,390,121665.80000000005,0.31424549873505936,0.26011582417833434,0.24847036201442343,0.27162027561806923
Montarville,44,25620.1,0.7353640305853607,0.29297477905903446,0.25738137022640684,0.33253807757357173
Papineau,69,40080.92,0.8483068751914876,0.3611822472724032,0.3334063802800047,0.3893845327352396
South Okanagan--West Kootenay,385,167825.43999999997,0.12242994864187458,0.13688727403353002,0.12753821957956793,0.14624862227184904
St. John's East,507,242486.43999999974,0.5633536456718992,0.22624871348594022,0.2177294607338248,0.23504905357210307
Thunder Bay--Superior North,244,122641.87000000002,0.2815757783210578,0.15899548233316158,0.14516267512018305,0.17375361046016483
York--Simcoe,133,46387.939999999995,0.5304525271007939,0.22020346025418272,0.2022963298976751,0.2373241429002317
